Ticks,M1 Speed,M1 Current,VelPID Derivative
5533.000000,93.537392,278.095123,0.015182
5543.000000,93.663788,273.894531,0.010236
5553.000000,93.706215,274.458252,-0.001423
5563.000000,93.664146,277.250916,-0.006840
5573.000000,93.622353,277.940643,-0.001663
5583.000000,93.606628,278.549988,-0.001487
5593.000000,93.658379,273.871552,0.011474
5603.000000,93.815514,265.806335,0.019724
5613.000000,94.056389,254.263672,0.028214
5623.000000,94.323189,243.924713,0.025230
5633.000000,94.490250,240.356598,0.008645
5643.000000,94.571999,237.188843,0.007730
5653.000000,94.696602,230.267990,0.016933
5663.000000,94.779472,230.194809,0.000111
5673.000000,94.780533,230.153854,0.000100
5683.000000,94.781479,230.116974,0.000090
5693.000000,94.782318,230.084457,0.000079
5703.000000,94.783081,230.055054,0.000072
5713.000000,94.783752,230.028793,0.000064
5723.000000,94.784363,230.005356,0.000057
5743.000000,94.705048,229.501190,0.010489
5763.000000,94.845573,225.657181,0.009380
5773.000000,94.934273,222.219940,0.008388
5783.000000,95.013596,219.146286,0.007500
5793.000000,94.892830,231.613266,-0.030589
5803.000000,94.640755,239.870407,-0.020117
5813.000000,94.473412,245.425873,-0.013537
5823.000000,94.296768,254.246796,-0.021568
5833.000000,94.109978,260.787872,-0.015947
5843.000000,93.959175,266.631592,-0.014260
5853.000000,93.824326,271.857178,-0.012752
5863.000000,93.735214,274.032227,-0.005280
5873.000000,93.613754,281.644409,-0.018638
5883.000000,93.546234,279.844482,0.004487
5893.000000,93.594383,277.746155,0.005125
5903.000000,93.708656,270.644653,0.017387
5913.000000,93.858765,265.408997,0.012764
5923.000000,93.979469,260.731476,0.011414
5933.000000,94.030182,261.090607,-0.000926
5943.000000,93.967064,265.744690,-0.011404
5953.000000,93.970795,261.067261,0.011511
5963.000000,94.073929,257.303101,0.009180
5973.000000,94.137856,255.755783,0.003756
5983.000000,94.216293,250.972870,-0.015136
6003.000000,94.146690,255.181000,0.004835
6013.000000,94.169518,255.226288,-0.000130
6023.000000,94.059563,263.903534,-0.021269
6033.000000,93.881317,269.881073,-0.014567
6043.000000,93.883766,264.091095,0.014251
6053.000000,93.981331,261.821472,0.005506
6063.000000,94.039131,259.349213,0.002059
6083.000000,94.081360,259.107178,-0.001498
6093.000000,94.132996,254.433105,0.011463
6103.000000,94.364426,240.467209,0.034187
6113.000000,94.604744,234.525131,0.014428
6123.000000,94.735458,229.692078,0.011789
6133.000000,94.846939,225.371887,0.010542
6143.000000,94.871674,224.878540,0.007911
6163.000000,94.946480,221.979645,0.007074
6173.000000,95.013374,219.387497,0.006326
6183.000000,95.073189,217.069214,0.005657
6193.000000,95.126686,214.996353,0.005058
6203.000000,95.174515,213.142654,0.004523
6213.000000,95.180099,214.437210,-0.003191
6223.000000,95.078392,221.284332,-0.016771
6233.000000,95.034241,218.346237,0.007269
6243.000000,95.102989,215.682144,0.006501
6253.000000,95.164459,213.299789,0.005814
6283.000000,95.120857,222.776901,-0.027408
6303.000000,94.625542,238.832947,-0.011706
6313.000000,94.480515,245.847794,-0.017148
6323.000000,94.318359,252.131699,-0.015334
6333.000000,94.173355,257.750916,-0.013712
6343.000000,94.043686,262.775787,-0.012262
6353.000000,93.819008,275.898895,-0.032118
6363.000000,93.472366,291.075134,-0.037071
6373.000000,93.121803,304.660004,-0.046901
6393.000000,92.293282,339.672607,-0.038601
6403.000000,91.928261,353.817749,-0.034518
6413.000000,91.601845,366.466827,-0.030867
6423.000000,91.058182,397.762573,-0.076588
6433.000000,90.196594,436.729584,-0.095209
6443.000000,89.075958,489.105499,-0.128002
6453.000000,87.596573,557.359131,-0.166790
6473.000000,84.356346,694.895142,-0.191183
6483.000000,82.548447,764.954224,-0.170962
6493.000000,80.508324,861.213806,-0.235266
6503.000000,78.240639,950.833740,-0.218732
6513.000000,76.052048,1040.527100,-0.218979
6523.000000,73.806778,1134.624634,-0.229774
6533.000000,71.579582,1223.140991,-0.216049
6543.000000,69.650986,1293.228027,-0.170930
6563.000000,66.686447,1404.157349,-0.117758
6573.000000,65.727371,1435.046997,-0.075244
6583.000000,65.284782,1441.272705,-0.014958
6593.000000,65.169075,1444.710327,-0.008366
6603.000000,65.407547,1422.568237,0.054308
